rank,firm_name,priority_score,town,adviser_count,top_mandate,brief_who,brief_why,brief_opener
1,Ascot Lloyd,62.5,Birmingham,50,multi_asset_cautious,"National advice firm with 50 advisers across 25 UK cities serving retail and professional clients, with a heavy pension transfer practice and 47 top-rated advisers on VouchedFor—they outsource investment management entirely.","Their pension transfer focus and cautious mandate fit points to WS Keyridge Portfolio III and IV for accumulation clients, and WS Keyridge DRM III-IV where volatility management matters for drawdown suitability; WS Keyridge Diversified Monthly Income suits their retail income seekers.",Ascot Lloyd's scale across 25 offices and your pension transfer specialism put you on our radar—I'd like to understand how you're currently building cautious multi-asset portfolios for drawdown clients.
2,Shackleton Advisers Limited,59.5,London,41,multi_asset_cautious,"A 41-adviser firm headquartered in the City with national reach across 14 offices, serving both retail and professional clients with a focus on pension transfers and discretionary investment management—evidenced by 40 top-rated advisers and nearly 3,000 VouchedFor reviews.","Their pension transfer authorisation and cautious mandate fit points to drawdown clients needing managed volatility—WS Keyridge DRM III and IV offer volatility-managed multi-asset with explicit risk targeting, while WS Keyridge Diversified Monthly Income serves income-focused retirees.",Shackleton runs discretionary portfolios for pension transfer clients across 14 locations—I'd like to understand how you're currently sourcing volatility-managed multi-asset for your cautious risk profiles.
3,Fidelius Ltd,56.5,Bath,28,multi_asset_cautious,"National advice firm with 28 advisers across 14 UK cities, focused on pension transfers and investment advice for retail and professional clients—they outsource investment management, making them a distribution partner rather than a competitor.","Their pension transfer specialism and cautious mandate fit points to WS Keyridge Portfolio III and IV for accumulation clients, and WS Keyridge Diversified Monthly Income for those entering drawdown who need sustainable income without excessive volatility.",Fidelius handles pension transfers at scale across 14 offices without managing money in-house—I'd like to understand how you're currently sourcing multi-asset solutions for clients moving into drawdown.
4,One Financial Solutions,54.9,Reigate,25,multi_asset_cautious,"A 25-adviser national firm operating across 18 UK cities, serving retail clients through referral-driven advice—evidenced by 1,933 VouchedFor reviews and 21 top-rated advisers—who outsource investment management entirely.","Since they don't manage investments in-house, WS Keyridge Portfolio III and IV offer ready-made multi-asset solutions at risk profiles 3-4 that match their cautious client base, with the DRM III-IV range available if they want volatility-managed variants for nervous investors.",You've got 21 advisers rated top on VouchedFor across 18 offices—I'm curious how you're currently sourcing the cautious multi-asset portfolios for that volume of retail clients.
5,The Private Office,54.1,,48,multi_asset_cautious,"A 48-adviser national firm operating across 19 cities, outsourcing investment management rather than running money in-house—likely using DFMs or centralised model portfolios to serve what appears to be a broad retail client base given their 5,407 VouchedFor reviews.",Their multi_asset_cautious mandate fit and outsourced model points to WS Keyridge Portfolio III or IV (risk profiles 3-4) and WS Keyridge DRM III-IV for clients wanting volatility-managed exposure—funds designed for the lower-risk investors a firm without pension transfer permissions typically advises.,"With 42 top-rated advisers across 19 locations and no in-house CIO, I'd expect you're evaluating which external managers can deliver consistent outcomes at lower risk profiles—that's exactly where Keyridge's multi-asset range sits."
6,Attivo Financial Ltd,52.5,,39,multi_asset_cautious,"A 39-adviser national firm spanning 15 cities with 38 top-rated advisers on VouchedFor—likely serving retail clients seeking face-to-face advice across multiple regions, outsourcing investment management entirely.","With no in-house DFM and a cautious mandate fit, WS Keyridge Portfolio III and WS Keyridge DRM III offer ready-made multi-asset solutions at the lower-risk end—DRM III adds volatility management for clients needing smoother returns through market stress.",Your advisers in 15 cities are all recommending third-party funds to cautious clients—how are you currently ensuring consistency in risk-graded portfolio selection across the network?
7,AFH Wealth Management,51.7,,34,multi_asset_cautious,"A 34-adviser national firm spanning 26 cities that outsources investment management entirely, with 1,679 VouchedFor reviews indicating a substantial retail client base likely weighted toward cautious wealth accumulators and pre-retirees.","Their multi-asset cautious mandate fit and non-discretionary model makes WS Keyridge Portfolio III and WS Keyridge DRM III direct matches—the DRM range's volatility management appeals to clients who react poorly to drawdowns, while Diversified Monthly Income suits any income-seeking retirees in their book.","AFH operates in 26 cities without running money in-house—I'm calling to see whether your advisers have capacity for another multi-asset range at the cautious end, specifically our risk-profile 3 funds."
8,INTELLIGENT PENSIONS LIMITED,51.3,Glasgow,11,multi_asset_cautious,"An 11-adviser pension transfer specialist headquartered in Glasgow with offices across 10 UK cities, serving retail and professional clients—their 606 VouchedFor reviews and full complement of top-rated advisers suggest a referral-driven business with high client satisfaction.","They don't manage investments in-house, so they need third-party solutions for pension accumulation and decumulation—WS Keyridge DRM III-IV (volatility managed) suits drawdown clients who can't stomach large swings, while WS Keyridge Diversified Monthly Income works for those taking natural yield in retirement.",Your firm handles pension transfers across 10 locations without running money internally—I'd like to understand what you look for in the multi-asset solutions you recommend to clients approaching or in drawdown.
9,Sandringham Financial Partners,50.9,,23,multi_asset_cautious,"A 23-adviser national network spanning 17 cities, with 22 top-rated advisers on VouchedFor and 1,613 client reviews—indicating a retail-focused, advice-led proposition where they outsource investment management rather than run money in-house.",Their cautious risk profile and need for outsourced solutions points to WS Keyridge Portfolio III or WS Keyridge DRM III—volatility-managed multi-asset that lets their advisers focus on planning while Keyridge handles asset allocation across their national client base.,"With 22 advisers spread across 17 locations, consistency in investment outcomes matters—how are you currently handling model portfolio selection across the network?"
10,2plan wealth management Limited,50.1,Leeds,13,multi_asset_cautious,"A 13-adviser national network headquartered in Leeds with offices across 12 UK cities, serving retail and professional clients primarily on pension transfers and investment advice—they do not manage investments in-house, meaning they outsource to third-party funds.",Their cautious mandate fit and pension transfer focus points to WS Keyridge Portfolio III or IV for accumulation clients and WS Keyridge Diversified Monthly Income for decumulation—funds available on the major platforms their advisers likely use.,Your advisers handle a high volume of pension transfers across 12 locations without managing money in-house—I'm calling to see if WS Keyridge's multi-asset range is on your panel or worth a conversation with your investment committee.
