Fund Name,Share Class,Unit Type,ISIN,SEDOL,IA Sector,Mandate Category,Risk Rating,Dynamic Planner Profile,OCF,Fund Size (£m),Benchmark,Managers,Objective,Data Sources
WS Keyridge Portfolio III,C,Income,GB00B8SC7T13,B8SC7T1,IA Mixed Investment 0-35% Shares,multi_asset_cautious,3,3,,,Dynamic Planner strategic allocation RP3,Craig Rippe,"Achieve capital growth and income over long term (≥5 years), after costs, whilst seeking to remain in risk band 3 (scale 1–10).","fidelity.co.uk, hl.co.uk, ii.co.uk, charlesstanley.co.uk"
WS Keyridge Portfolio III,C,Accumulation,GB00B96T7P76,B96T7P7,IA Mixed Investment 0-35% Shares,multi_asset_cautious,3,3,,,Dynamic Planner strategic allocation RP3,Craig Rippe,"Achieve capital growth and income over long term (≥5 years), after costs, whilst seeking to remain in risk band 3 (scale 1–10).","fidelity.co.uk, charlesstanley.co.uk, trustnet.com"
WS Keyridge Portfolio IV,C,Income,GB00B7R5DQ38,B7R5DQ3,IA Mixed Investment 20-60% Shares,multi_asset_balanced,4,4,,,Dynamic Planner strategic allocation RP4,Craig Rippe,"Achieve long-term capital growth and income (≥5 years), after costs, whilst seeking to remain within defined risk band 4.","fidelity.co.uk, morningstar.co.uk, ii.co.uk"
WS Keyridge Portfolio IV,C,Accumulation,GB00B976VR77,B976VR7,IA Mixed Investment 20-60% Shares,multi_asset_balanced,4,4,,,Dynamic Planner strategic allocation RP4,Craig Rippe,"Achieve long-term capital growth and income (≥5 years), after costs, whilst seeking to remain within defined risk band 4.","fidelity.co.uk, morningstar.co.uk, charlesstanley.co.uk"
WS Keyridge Portfolio V,C,Accumulation,GB00B9BQJ249,B9BQJ24,IA Mixed Investment 40-85% Shares,multi_asset_growth,5,5,,,Dynamic Planner strategic allocation RP5,Craig Rippe,"Achieve long-term capital growth (≥5 years), after costs, whilst seeking to remain within defined risk band 5.","fidelity.co.uk, morningstar.co.uk, ii.co.uk, ajbell.co.uk"
WS Keyridge Portfolio VI,C,Accumulation,GB00B9BQBN99,B9BQBN9,IA Flexible Investment,multi_asset_growth,6,6,,,Dynamic Planner strategic allocation RP6,Craig Rippe,"Achieve long-term capital growth (≥5 years), after costs, whilst seeking to remain within defined risk band 6.","fidelity.co.uk, charlesstanley.co.uk, ajbell.co.uk, trustnet.com"
WS Keyridge Portfolio VII,C,Accumulation,GB00B76WGJ99,B76WGJ9,IA Flexible Investment,multi_asset_aggressive,7,7,,,Dynamic Planner strategic allocation RP7,Craig Rippe,"Achieve long-term capital growth (≥5 years), after costs, whilst seeking to remain within defined risk band 7.","fidelity.co.uk, morningstar.co.uk, charlesstanley.co.uk, ii.co.uk, trustnet.com"
WS Keyridge Diversified Risk Managed III,C,Income,GB00BZ005657,BZ00565,IA Mixed Investment 0-35% Shares,multi_asset_cautious,3,3,,,Internal volatility target (risk profile 3),Craig Rippe,Generate long-term capital growth by investing in global bonds and equities as well as UK commercial property via collective investment schemes. Maintains specific volatility parameters to remain in risk profile 3.,"fidelity.co.uk, charlesstanley.co.uk"
WS Keyridge Diversified Risk Managed III,C,Accumulation,GB00BZ005541,BZ00554,IA Mixed Investment 0-35% Shares,multi_asset_cautious,3,3,,,Internal volatility target (risk profile 3),Craig Rippe,Generate long-term capital growth by investing in global bonds and equities as well as UK commercial property via collective investment schemes. Maintains specific volatility parameters to remain in risk profile 3.,"fidelity.co.uk, charlesstanley.co.uk, hl.co.uk"
WS Keyridge Diversified Risk Managed V,C,Accumulation,GB00BLB05M23,BLB05M2,IA Mixed Investment 40-85% Shares,multi_asset_growth,5,5,,,Internal volatility target (risk profile 5),Craig Rippe,Generate long-term capital growth. Equity exposure 40-85% of portfolio. Maintains specific volatility parameters for risk profile 5.,morningstar.co.uk
WS Keyridge Diversified Risk Managed VI,C,Accumulation,GB00BP5J8Z72,BP5J8Z7,IA Flexible Investment,multi_asset_aggressive,6,6,,,Internal volatility target (risk profile 6),Craig Rippe,Generate long-term capital growth. Maintains volatility parameters for risk profile 6.,"fidelity.co.uk, morningstar.co.uk"
WS Keyridge Diversified Monthly Income,C,Accumulation,GB00BK5BDK84,BK5BDK8,IA Mixed Investment 20-60% Shares,multi_asset_income,,,,,Internal (yield target ≥4% pa),Craig Rippe,"Provide dividends, interest payments and rental income, together with potential for long-term capital growth. Aims to deliver yield of 4%+ pa via steady monthly payment.","charlesstanley.co.uk, morningstar.co.uk"
WS Keyridge UK Equity,C,Accumulation,GB00B9J7KW65,B9J7KW6,IA UK All Companies,uk_equity,,,,,,Mike Willans,"Achieve capital growth over any five-year period, after all costs and charges. Invests at least 80% of assets in UK-incorporated or UK-domiciled company shares.",fidelity.co.uk
WS Keyridge UK Equity Income,C,Income,GB00B403JV05,B403JV0,IA UK Equity Income,uk_equity_income,,,,,,Mike Willans,Provide income and potential for capital growth over any five-year period. Invests at least 80% of assets in shares of UK companies.,"fidelity.co.uk, willisowen.co.uk, morningstar.co.uk"
WS Keyridge UK Equity Income,C,Accumulation,GB00B73RC112,B73RC11,IA UK Equity Income,uk_equity_income,,,,,,Mike Willans,Provide income and potential for capital growth over any five-year period. Invests at least 80% of assets in shares of UK companies.,"fidelity.co.uk, charlesstanley.co.uk, morningstar.co.uk"
WS Keyridge UK Equity and Bond Income,C,Income,GB00B6Q60S17,B6Q60S1,IA Mixed Investment 20-60% Shares,uk_equity_bond_income,,,,,,,Provide income and potential for capital growth. Invests in UK equities and bonds.,fidelity.co.uk
WS Keyridge UK Equity and Bond Income,C,Accumulation,GB00B6SC4F24,B6SC4F2,IA Mixed Investment 20-60% Shares,uk_equity_bond_income,,,,,,,Provide income and potential for capital growth. Invests in UK equities and bonds.,fidelity.co.uk
WS Keyridge European,C,Accumulation,GB00BKRC1492,BKRC149,IA European Excluding UK,european_equity,,,,,,Mike Willans,Achieve capital growth. Invests in European equities.,fidelity.co.uk
WS Keyridge Asia Pacific,C,Accumulation,GB00B719QW87,B719QW8,IA Asia Pacific Excluding Japan,asia_pacific_equity,,,,,,,Achieve capital growth over any five-year period. Invests at least 80% of assets in Asia Pacific region excluding Japan but including regional Emerging Markets.,"fidelity.co.uk, willisowen.co.uk"
WS Keyridge North American,C,Accumulation,GB00B73N3278,B73N327,IA North America,north_american_equity,,,,,,,Achieve capital growth. Invests in North American equities.,fidelity.co.uk
WS Keyridge Global Equity,C,Accumulation,GB00B78SPK99,B78SPK9,IA Global,global_equity,,,,,,Mike Willans,Achieve capital growth over any five-year period. Invests at least 80% of assets worldwide in equities.,"fidelity.co.uk, morningstar.co.uk, willisowen.co.uk"
WS Keyridge Corporate Bond,C,Income,GB00B7BW6H22,B7BW6H2,IA Sterling Corporate Bond,corporate_bond,,,,,,Roger Dawes,Invest primarily in sterling-denominated investment-grade corporate bonds.,"fidelity.co.uk, willisowen.co.uk"
WS Keyridge Corporate Bond,C,Accumulation,GB00B6ZMK027,B6ZMK02,IA Sterling Corporate Bond,corporate_bond,,,,,,Roger Dawes,Invest primarily in sterling-denominated investment-grade corporate bonds.,fidelity.co.uk
WS Keyridge Short Duration Corporate Bond,C,Income,GB00BD0CNN05,BD0CNN0,IA Short Term Bond,short_duration_bond,,,,,,Roger Dawes,Invest in sterling-denominated investment-grade corporate bonds with effective maturity of 5 years or less.,"fidelity.co.uk, morningstar.co.uk"
WS Keyridge Short Duration Corporate Bond,C,Accumulation,GB00BD0CNM97,BD0CNM9,IA Short Term Bond,short_duration_bond,,,,,,Roger Dawes,Invest in sterling-denominated investment-grade corporate bonds with effective maturity of 5 years or less.,"fidelity.co.uk, morningstar.co.uk"
WS Keyridge Global Macro Bond,C,Accumulation,GB00B4LW2X97,B4LW2X9,IA Global Bonds,global_macro_bond,,,,,,Roger Dawes,Provide income with potential for long-term capital growth by investing in high-quality government and investment-grade corporate bonds from around the world.,"fidelity.co.uk, willisowen.co.uk, morningstar.co.uk"
